title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description
null value menu	NullValueMenu		Not Applicable [GENEPIO:0001619]					
			Missing [GENEPIO:0001618]					
			Not Collected [GENEPIO:0001620]					
			Not Provided [GENEPIO:0001668]					
			Restricted Access [GENEPIO:0001810]					
								
organism menu	OrganismMenu							
								
								
								
								
								
								
								
								
								
antimicrobial_phenotype menu	AntimicrobialPhenotypeMenu		Antibiotic resistance not defined [GENEPIO:0002040]					
				Intermediate antimicrobial phenotype [ARO:3004300]				
				Indeterminate antimicrobial phenotype [GENEPIO:0100585]				
			Nonsusceptible antimicrobial phenotype [ARO:3004303]					
			Resistant antimicrobial phenotype [ARO:3004301]					
			Susceptible antimicrobial phenotype [ARO:3004302]					
			Susceptible dose dependent antimicrobial phenotype [ARO:3004304]					
								
								
antimicrobial_measurement_units menu	AntimicrobialMeasurementUnitsMenu		milligram per litre (mg/L) [UO:0000273]					
			millimetre (mm) [UO:0000016]					
			microgram per millilitre (ug/mL) [UO:0000274]					
								
								
antimicrobial_measurement_sign menu	AntimicrobialMeasurementSignMenu		less than (<) [GENEPIO:0001002]					
			less than or equal to (<=) [GENEPIO:0001003]					
			equal to (==) [GENEPIO:0001004]					
			greater than (>) [GENEPIO:0001006]					
			greater than or equal to (>=) [GENEPIO:0001005]					
								
								
antimicrobial_laboratory_typing_method menu	AntimicrobialLaboratoryTypingMethodMenu		Agar diffusion [NCIT:85595]					
				Antimicrobial gradient (E-test) [NCIT:85596]				
			Agar dilution [ARO:3004411]					
			Broth dilution [ARO:3004397]					
								
								
antimicrobial_laboratory_typing_platform menu	AntimicrobialLaboratoryTypingPlatformMenu		BIOMIC Microbiology System [ARO:3007569]					
			Microscan [ARO:3004400]					
			Phoenix [ARO:3004401]					
			Sensititre [ARO:3004402]					
			Vitek System [ARO:3004403]					
								
								
AMR_testing_by menu	AmrTestingByMenu		Public Health Agency of Canada (PHAC) [GENEPIO:0100551]					
			Canadian Food Inspection Agency (CFIA) [GENEPIO:0100552]					
			Agriculture and Agri-Food Canada (AAFC) [GENEPIO:0100553]					
			Health Canada (HC) [GENEPIO:0100554]					
			Environment and Climate Change Canada (ECCC) [GENEPIO:0100555]					
			Fisheries and Oceans Canada (DFO) [GENEPIO:0100556]					
								
								
antimicrobial_testing_standard menu	AntimicrobialTestingStandardMenu		British Society for Antimicrobial Chemotherapy (BSAC) [ARO:3004365]					
			Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]					
			Deutsches Institut für Normung (DIN) [ARO:3004367]					
			European Committee on Antimicrobial Susceptibility Testing (EUCAST) [ARO:3004368]					
			National Antimicrobial Resistance Monitoring System (NARMS) [ARO:3007195]					
			National Committee for Clinical Laboratory Standards (NCCLS) [ARO:3007193]					
			Société Française de Microbiologie (SFM) [ARO:3004369]					
			Swedish Reference Group for Antibiotics (SIR) [ARO:3007397]					
			Werkgroep Richtlijnen Gevoeligheidsbepalingen (WRG) [ARO:3007398]					